Time,M1:EncoderPosition,M2:EncoderPosition,M3:EncoderPosition,M4:EncoderPosition,M1:EncoderVelocity,M2:EncoderVelocity,M3:EncoderVelocity,M4:EncoderVelocity
0.121,12036.5,91376.5,62621,-418635.5,0,0,2,4
0.122,12036.5,91376.5,62620.75,-418635.5,0,0,0,-4
0.123,12035.5,91377.75,62619.75,-418640.2,-2,2,-2,-4
0.124,12034.25,91379.25,62620.5,-418638,0,0,0,6
0.125,12033.5,91380.25,62622.25,-418633.8,0,2,0,2
0.126,12033.25,91383,62622.75,-418637,-2,4,0,-6
0.127,12031.25,91386.75,62624,-418639.2,-2,4,2,2
0.128,12029.75,91390.25,62627,-418634.5,-2,4,4,6
0.129,12030,91393.25,62629.75,-418633.8,0,2,2,-2
0.13,12028.5,91395.25,62631.75,-418638.5,-2,2,2,-6
0.131,12027,91397.25,62633.5,-418638.2,-2,4,2,4
0.132,12025.75,91400.5,62636.25,-418633.8,-2,4,4,2
0.133,12022.5,91405.75,62638.75,-418636.2,-4,6,0,-6
0.134,12019,91412.25,62639.5,-418637.8,-4,6,0,4
0.135,12015.25,91418.25,62640.25,-418633.5,-2,4,2,4
0.136,12012.75,91421.75,62642,-418634.2,-2,2,0,-4
0.137,12009.75,91423.25,62641,-418638.5,-4,0,-2,-2
0.138,12005.75,91424.25,62640.75,-418635.5,-4,2,0,6
0.139,12000.25,91425.5,62640.75,-418632.2,-6,2,0,0
0.14,11995.5,91428.5,62638.5,-418636.2,-4,2,-4,-6
0.141,11992.5,91431.25,62635.75,-418637.8,-4,2,-2,2
0.142,11988.25,91432,62636,-418633,-6,0,2,4
0.143,11983.75,91432.5,62635.25,-418633,-2,0,-2,-4
0.144,11980.75,91433.5,62633.25,-418637.8,-2,0,-2,-2
0.145,11979.5,91434.25,62631,-418636.2,0,2,-2,4
0.146,11978.75,91434.5,62631,-418631.8,0,0,0,0
0.147,11978.75,91434.5,62631.5,-418635,0,0,0,-6
0.148,11978,91434.75,62632,-418638,0,0,0,2
0.149,11977.75,91435.25,62633.25,-418633.2,0,0,2,6
0.15,11979,91436.25,62634,-418631.5,2,0,0,-2
0.151,11979.75,91436.25,62634,-418636.2,-2,0,0,-6
0.152,11980,91437.5,62635.75,-418635.8,2,0,2,4
0.153,11980.75,91438,62635.5,-418631.2,2,0,0,2
0.154,11982.5,91438,62634.75,-418633.8,2,0,0,-4
0.155,11984,91439,62635.5,-418637.5,0,0,0,0
0.156,11984,91439,62633,-418633.8,0,0,-4,6
0.157,11985,91439.75,62630.25,-418631,2,0,-4,-2
0.158,11985,91439.75,62628.5,-418635.2,0,0,-2,-6
0.159,11984.75,91440.75,62628.25,-418637.2,0,2,2,2
0.16,11985.75,91440.75,62628.5,-418632,0,0,0,6
0.161,11985,91441.5,62627,-418632.2,0,2,0,-4
0.162,11986,91441.75,62627.5,-418636.8,2,2,0,-2
0.163,11986.25,91442,62628.25,-418635.5,-2,0,0,4
0.164,11986.5,91442.25,62628,-418631.5,0,0,0,2
0.165,11987.25,91442.75,62631,-418634.8,0,2,4,-6
0.166,11987.5,91443,62634.25,-418636.8,0,0,2,0
0.167,11988,91443.25,62636.5,-418632.2,0,0,0,4
0.168,11987.75,91443.5,62637.5,-418632.8,0,0,2,-4
0.169,11987.5,91443.5,62640.5,-418637,0,0,4,-2
0.17,11987,91443.5,62646.5,-418634.2,0,0,8,6
0.171,11986.5,91443.75,62651.5,-418630.5,0,0,4,0
0.172,11986.25,91443.5,62652.5,-418634.5,0,0,0,-6
0.173,11986,91443.5,62652.25,-418637.2,-2,0,0,2
0.174,11984.75,91443.5,62653.25,-418632.2,0,0,2,6
0.175,11984.25,91443.5,62655,-418631.2,0,0,0,-2
0.176,11983.5,91443.5,62655,-418636.2,0,0,0,-6
0.177,11982,91443.5,62654.75,-418635.2,-2,0,0,6
0.178,11980.75,91443.5,62654.25,-418630.5,0,0,-2,2
0.179,11979.5,91443.5,62653.75,-418632.8,-2,0,0,-4
0.18,11979,91443.5,62653.25,-418636.8,0,0,0,0
0.181,11979,91443.5,62653.25,-418633.2,0,0,-2,6
0.182,11978.5,91443.5,62650.75,-418630.5,0,0,-2,0
0.183,11978.25,91443.5,62649.25,-418634.8,0,0,0,-6
0.184,11978,91443.75,62650,-418636,0,0,2,2
0.185,11978.5,91443.75,62651.5,-418631,0,0,0,4
0.186,11978.75,91444,62651.75,-418632.2,-2,0,0,-4
0.187,11979,91444.5,62650.25,-418637,2,0,0,-2
0.188,11979.75,91445.25,62651.5,-418633.2,0,0,2,8
0.189,11981,91446.25,62652.5,-418630.5,0,0,0,-2
0.19,11981.5,91447.75,62652.25,-418635,0,0,0,-6
0.191,11981,91449,62651.75,-418636.5,0,2,-2,2
0.192,11981.5,91449,62649.75,-418631,0,0,-4,4
0.193,11982,91449.75,62647.5,-418631.8,0,0,-2,-4
0.194,11981.5,91450,62645.5,-418636.8,0,0,-2,-4
0.195,11980.75,91450.25,62642.75,-418634.5,0,0,-2,6
0.196,11980.25,91451.5,62639.5,-418630.2,-2,2,-2,0
0.197,11979,91451.5,62635.75,-418633.2,0,0,-6,-4
0.198,11977.5,91452,62628.5,-418637,0,2,-8,0
0.199,11978.5,91452.5,62622,-418633,2,0,-6,6
0.2,11978.5,91453.25,62619,-418632.2,-2,0,-2,-2
0.201,11978,91454.5,62616.75,-418636.8,0,2,-2,-4
0.202,11977.75,91456,62614,-418636,0,2,-2,4
0.203,11977.5,91457.5,62612.25,-418631.5,0,0,0,2
0.204,11977.5,91459.25,62612.75,-418634.2,0,2,2,-6
0.205,11977.75,91459.5,62614.25,-418638.2,0,0,2,0
0.206,11978.5,91459.75,62616.25,-418634.2,0,0,2,8
0.207,11979.75,91460.25,62618.5,-418631.2,2,0,4,0
0.208,11980.5,91460.5,62623.25,-418636,0,0,6,-6
0.209,11980.75,91461.25,62629,-418638,0,2,6,2
0.21,11981.25,91461.75,62633,-418633.2,0,2,2,4
0.211,11982.25,91462.5,62637,-418633.2,2,0,6,-4
0.212,11982.5,91463,62641.75,-418637.8,0,0,6,-4
0.213,11982,91463,62646,-418635.8,0,-2,4,6
0.214,11981.5,91463,62649.75,-418631.5,-2,0,4,2
0.215,11980.5,91463,62651.75,-418634,-2,0,2,-6
0.216,11979,91463,62653,-418638,-2,0,2,0
0.217,11977.75,91462.75,62653.75,-418634,0,0,0,8
0.218,11977.75,91462.75,62653.5,-418632.2,0,0,0,-2
0.219,11976.25,91462.5,62655.75,-418636.8,-2,-2,4,-4
0.22,11973.25,91462.75,62658,-418636.8,-4,0,2,2
0.221,11969,91462.5,62659,-418632.2,-4,0,0,2
0.222,11966.75,91462.5,62659.75,-418634.8,0,0,2,-4
0.223,11966.25,91462.5,62660.75,-418638,0,0,0,0
0.224,11967,91462.75,62662.5,-418633.5,0,0,0,6
0.225,11967.25,91462.75,62663.25,-418631.8,2,0,0,-2
0.226,11967.5,91462.75,62664.75,-418636.5,0,0,2,-6
0.227,11968,91463,62667.25,-418637,0,0,2,2
0.228,11967.75,91463,62669,-418631.8,0,0,2,4
0.229,11967.75,91463,62669.25,-418632.5,0,-2,-2,-4
0.23,11968.25,91463.25,62668.25,-418637.5,0,0,0,-4
0.231,11968.25,91463,62665.5,-418634,-2,0,-4,8
0.232,11968,91463,62662.5,-418630.2,0,-2,-2,0
0.233,11968,91463,62660.5,-418634.2,0,0,-2,-6
0.234,11967,91463,62657.5,-418637,-2,0,-4,0
0.235,11966.5,91462.75,62653.5,-418632.5,0,0,-4,4
0.236,11966.75,91462.75,62651,-418632.5,2,0,-2,-4
0.237,11966.75,91462.5,62648.25,-418636.8,0,0,-4,-4
0.238,11966.5,91462.5,62645.5,-418635,0,0,-2,6
0.239,11967.25,91462.5,62643.75,-418631.2,0,0,0,0
0.24,11968,91462.5,62643.25,-418634.5,2,0,0,-4
0.241,11970,91462.5,62643.5,-418637,2,0,0,0
0.242,11973.25,91462.25,62643.75,-418632,4,0,0,4
0.243,11976.75,91462.75,62644.5,-418632,4,0,2,-6
0.244,11980.25,91463.25,62645.25,-418647.8,4,2,0,-20
0.245,11980.25,91465.25,62646.25,-418668.2,0,2,2,-20
0.246,11977.75,91472.5,62648.75,-418685.5,-2,12,4,-14
0.247,11974.75,91490.75,62651.25,-418695.8,-4,18,2,-8
0.248,11969,91510.25,62654.5,-418702,-6,18,4,-4
0.249,11963.5,91522.25,62662.5,-418705.2,-4,8,10,-4
0.25,11958.5,91527,62672.5,-418708,-6,4,8,-2
0.251,11949.5,91534.5,62675.75,-418710.8,-12,12,0,-4
0.252,11936.5,91554,62674.25,-418715.2,-16,26,-2,-8
0.253,11918,91589.25,62676.75,-418728.2,-18,42,6,-16
0.254,11897.25,91639.5,62685,-418748.2,-22,56,10,-22
0.255,11871,91697,62696,-418773.2,-30,60,12,-28
0.256,11839.25,91759.5,62708.5,-418802.5,-34,64,12,-32
0.257,11801.75,91833.25,62721.75,-418834.2,-42,84,16,-34
0.258,11757,91921.25,62741.25,-418871.8,-50,92,20,-40
0.259,11705.75,92020.25,62764.25,-418917.5,-56,102,26,-48
0.26,11646.5,92120.5,62789.5,-418971.5,-62,100,26,-58
0.261,11579.25,92215.5,62819.5,-419033.2,-72,100,32,-72
0.262,11499.25,92320.25,62855.25,-419107.8,-88,120,38,-76
0.263,11412.75,92451.5,62899.75,-419191,-92,146,46,-88
0.264,11327,92602.25,62955,-419280.5,-84,158,62,-94
0.265,11236.25,92766.5,63013.75,-419380,-90,176,60,-104
0.266,11134,92950.5,63073,-419485.5,-104,194,58,-110
0.267,11022,93162,63135.5,-419594.2,-118,224,62,-108
0.268,10900.5,93400,63209.5,-419712.5,-132,250,82,-124
0.269,10764.5,93667.25,63294.75,-419842.5,-148,280,88,-134
0.27,10614.75,93969,63385.75,-419974.5,-152,316,88,-130
0.271,10447.75,94300.75,63475.5,-420102.8,-178,342,92,-126
0.272,10258,94649.75,63566.75,-420233.5,-200,364,98,-134
0.273,10047,95027,63666.75,-420378.2,-216,394,104,-156
0.274,9815,95443,63776.25,-420544.8,-244,428,108,-180
0.275,9560.5,95890.25,63891,-420741.2,-270,454,120,-212
0.276,9280.25,96362.25,64009.5,-420969.5,-292,480,122,-244
0.277,8977.75,96871.75,64133.5,-421224.2,-314,530,124,-266
0.278,8659.25,97433.75,64264.75,-421500.5,-332,586,134,-284
0.279,8318.75,98026.75,64404,-421790.8,-348,596,146,-294
0.28,7949.5,98641.5,64551,-422090.5,-384,630,150,-300
0.281,7559.5,99302.75,64705.75,-422400.5,-400,684,156,-316
0.282,7155.25,100009.2,64870.5,-422720.8,-410,726,166,-324
0.283,6734,100751.8,65044,-423054.8,-432,748,182,-342
0.284,6291.75,101513,65223.5,-423401.5,-454,768,184,-348
0.285,5835.5,102302.2,65411,-423756.5,-462,810,190,-356
0.286,5368.25,103132.2,65608.25,-424117.8,-474,850,202,-366
0.287,4880.75,104003.2,65814.25,-424484.2,-500,888,212,-370
0.288,4367.5,104910,66027,-424854.8,-524,920,216,-374
0.289,3838.5,105856.2,66246.5,-425230,-534,958,222,-378
0.29,3298.5,106822.2,66476,-425613,-542,970,232,-382
0.291,2745.5,107796.5,66712.75,-426011,-558,980,242,-406
0.292,2177.25,108800,66957.25,-426426,-572,1018,250,-424
0.293,1595.25,109845.5,67208.75,-426856.2,-586,1060,256,-434
0.294,996.25,110913.8,67469.25,-427303.2,-608,1078,264,-454
0.295,382.75,112013.2,67734.75,-427763,-614,1112,268,-460
0.296,-237.75,113143.2,68007,-428231.5,-624,1138,278,-476
0.297,-861.25,114288.2,68286.75,-428711,-630,1144,284,-486
0.298,-1498.5,115446,68574,-429203.5,-650,1162,290,-498
0.299,-2149.5,116635.8,68871.25,-429710.2,-652,1214,304,-510
0.3,-2808.25,117869.8,69179.5,-430233,-662,1248,310,-530
0.301,-3473.75,119125.2,69500.25,-430768,-668,1260,324,-540
0.302,-4141.75,120385.2,69833,-431308.5,-670,1258,336,-544
0.303,-4807.5,121660.5,70175.25,-431854.5,-662,1284,346,-550
0.304,-5478,122969,70526.5,-432409.5,-674,1328,354,-562
0.305,-6157,124310.8,70888.5,-432972.5,-684,1356,370,-564
0.306,-6849,125676.5,71264.5,-433546,-692,1376,384,-576
0.307,-7545.75,127057,71657.25,-434133.8,-698,1382,402,-596
0.308,-8244.25,128447.2,72062.25,-434732.2,-704,1396,408,-604
0.309,-8950.5,129872,72472.75,-435343,-712,1442,408,-616
0.31,-9667.25,131345.5,72889.5,-435967.5,-714,1490,418,-630
0.311,-10386.75,132841,73317.5,-436602,-720,1498,438,-638
0.312,-11107.5,134336.5,73765.25,-437242.5,-724,1494,458,-644
0.313,-11835.75,135860.5,74234.25,-437891.2,-728,1546,480,-650
0.314,-12567.5,137439.5,74721.25,-438551.2,-736,1598,492,-666
0.315,-13299,139043.2,75218,-439222,-734,1604,502,-680
0.316,-14040,140646.2,75716.25,-439907.8,-750,1600,494,-694
0.317,-14798.75,142281.8,76215.75,-440605.5,-760,1666,502,-706
0.318,-15561.75,143987.2,76728.75,-441318.5,-758,1726,522,-722
0.319,-16323.75,145727.5,77267.75,-442046.2,-760,1736,548,-732
0.32,-17099.25,147465,77832.5,-442780.2,-780,1740,576,-740
0.321,-17891.75,149238.5,78409.75,-443521.2,-798,1796,580,-746
0.322,-18674.75,151072.5,78993,-444273,-778,1856,582,-756
0.323,-19449.75,152924.8,79587.5,-445036,-780,1856,602,-768
0.324,-20250.5,154793.2,80196.5,-445811,-816,1894,620,-778
0.325,-21074.25,156727.5,80821,-446600.5,-820,1960,634,-796
0.326,-21880,158686.5,81469,-447408,-796,1952,662,-816
0.327,-22681.75,160631,82137.25,-448232.2,-816,1964,672,-832
0.328,-23515,162647.5,82815.25,-449064,-844,2060,686,-836
0.329,-24354,164735.5,83503,-449902,-828,2090,694,-846
0.33,-25171.25,166810.5,84213.5,-450751.5,-814,2068,722,-852
0.331,-25998.25,168900.5,84952,-451610.5,-840,2112,748,-860
0.332,-26843,171065.8,85714.5,-452477.5,-842,2170,774,-868
0.333,-27675,173248,86499.25,-453358,-828,2176,788,-888
0.334,-28509,175453,87299,-454253.5,-838,2238,808,-902
0.335,-29360.5,177717,88112.75,-455161,-856,2280,820,-910
0.336,-30195,180016.8,88946.25,-456077,-826,2302,836,-916
0.337,-31016.25,182339.8,89799.5,-457004.2,-832,2326,862,-936
0.338,-31859.25,184674,90678,-457946.2,-858,2346,890,-946
0.339,-32707.75,187044.5,91584.25,-458898.5,-840,2408,920,-956
0.34,-33543.25,189487,92511.5,-459859.5,-834,2460,936,-968
0.341,-34388.75,191925.5,93450.75,-460833.5,-852,2442,944,-976
0.342,-35239.5,194377.5,94403,-461811.5,-844,2486,960,-978
0.343,-36062.25,196908.8,95372.5,-462789,-812,2548,982,-980
0.344,-36875.75,199461.5,96372.75,-463779.8,-818,2550,1016,-1000
0.345,-37709.25,202021.5,97406.25,-464788.5,-840,2570,1044,-1016
0.346,-38539.5,204623,98456.75,-465807.2,-820,2632,1060,-1020
0.347,-39345.5,207278.5,99527.5,-466835.8,-802,2664,1078,-1036
0.348,-40153.5,209953.8,100624.2,-467877.8,-814,2682,1102,-1048
0.349,-40965,212664.5,101742.8,-468934.2,-808,2726,1122,-1066
0.35,-41756.25,215417.8,102879.2,-470005.8,-782,2744,1138,-1074
0.351,-42533.75,218183.2,104041.5,-471086.2,-778,2776,1178,-1084
0.352,-43314,220995.5,105240.5,-472178,-780,2822,1212,-1098
0.353,-44086.75,223824.8,106467.8,-473283,-762,2836,1234,-1108
0.354,-44842.25,226692.8,107711.5,-474402,-750,2880,1244,-1118
0.355,-45592.25,229617.5,108972.8,-475541.8,-756,2948,1268,-1150
0.356,-46340.75,232566,110263,-476693,-740,2956,1302,-1158
0.357,-47073.75,235522,111591.2,-477848.8,-726,2962,1344,-1164
0.358,-47790.25,238525.5,112951.2,-479014.2,-712,3036,1368,-1172
0.359,-48495.75,241579,114331.5,-480190.2,-704,3058,1384,-1174
0.36,-49194.5,244657.5,115723,-481369.2,-696,3090,1400,-1182
0.361,-49882.75,247763.8,117141.5,-482549.8,-686,3112,1438,-1182
0.362,-50557.25,250890.2,118598.8,-483730.2,-662,3132,1472,-1182
0.363,-51203.5,254050.5,120092,-484918,-636,3172,1502,-1192
0.364,-51839.25,257234.2,121602.2,-486112.2,-634,3200,1512,-1200
0.365,-52481.75,260446,123124,-487312.2,-642,3242,1528,-1200
0.366,-53121,263711.2,124664.5,-488519.5,-626,3282,1552,-1206
0.367,-53728.5,266972.2,126230.2,-489738.2,-590,3256,1574,-1222
0.368,-54311,270246.5,127816.2,-490964.2,-580,3306,1596,-1226
0.369,-54888.5,273560.5,129429,-492194.2,-582,3340,1628,-1236
0.37,-55457,276892.2,131066.2,-493428,-562,3338,1646,-1234
0.371,-56014.5,280235.5,132724.2,-494665.2,-554,3330,1662,-1232
0.372,-56562.75,283577.2,134393.2,-495902.5,-542,3336,1672,-1240
0.373,-57091.25,286935.8,136070.8,-497138.2,-520,3356,1686,-1234
0.374,-57599.5,290304.5,137762.8,-498371.8,-502,3356,1696,-1230
0.375,-58092,293680.5,139471.2,-499604.2,-490,3388,1720,-1230
0.376,-58576,297065,141194.5,-500834.2,-478,3392,1740,-1232
0.377,-59045.75,300441.5,142936.5,-502060.8,-458,3378,1752,-1226
0.378,-59495.75,303821.5,144698.5,-503281.5,-436,3358,1768,-1216
0.379,-59918,307192.5,146475,-504498.8,-412,3364,1776,-1216
0.38,-60314.25,310550.5,148265.8,-505713,-384,3362,1790,-1212
0.381,-60689,313880.5,150076,-506926,-368,3314,1818,-1212
0.382,-61045,317195.2,151901.2,-508133.5,-354,3308,1826,-1204
0.383,-61383.75,320520,153733.5,-509329.8,-332,3332,1842,-1190
0.384,-61704,323879.2,155572.5,-510508.5,-310,3384,1840,-1168
0.385,-62001.75,327245.5,157414.8,-511670,-288,3328,1834,-1158
0.386,-62273.75,330569.8,159252,-512824.5,-262,3302,1834,-1150
0.387,-62522,333873.2,161084,-513973.2,-238,3300,1834,-1146
0.388,-62749.25,337178.5,162915.8,-515114,-218,3318,1826,-1136
0.389,-62961.25,340483.8,164741,-516245,-208,3284,1828,-1132
0.39,-63172.75,343727.2,166558,-517367.2,-218,3202,1820,-1118
0.391,-63421,346912.8,168372,-518486.8,-264,3164,1806,-1118
0.392,-63698.25,350078,170174.5,-519603.8,-270,3140,1786,-1114
0.393,-63937.25,353227.2,171958.5,-520720.8,-208,3150,1776,-1118
0.394,-64128,356367.8,173734.8,-521826,-182,3128,1774,-1098
0.395,-64322.25,359452.5,175516.8,-522915,-204,3052,1788,-1082
0.396,-64521.25,362477,177308,-523989.5,-184,3016,1798,-1068
0.397,-64684.25,365498,179108.5,-525051.5,-142,3020,1806,-1056
0.398,-64811.25,368499.8,180913,-526104.5,-124,2988,1798,-1048
0.399,-64927.75,371461.5,182712.5,-527153.2,-110,2938,1788,-1050
0.4,-65031.25,374379.8,184493.2,-528202.5,-88,2898,1770,-1050
0.401,-65104.75,377243.5,186257,-529249.2,-62,2854,1768,-1040
0.402,-65149,380079,188016.2,-530274.8,-34,2834,1756,-1010
0.403,-65174,382886.8,189776.8,-531265.5,-16,2792,1764,-974
0.404,-65180.25,385641,191536.8,-532227,2,2734,1752,-948
0.405,-65153,388363.8,193297,-533170,36,2722,1758,-940
0.406,-65119,391063.5,195052.8,-534098.2,28,2676,1748,-924
0.407,-65090.5,393684.5,196791,-535015.5,32,2592,1722,-914
