"TraceType","Single"
"TriggerType",""
"SamplePeriod","0:0:1:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","4500"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix",""

"SampleTimingType","cyclic"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","True:InvertedU_trajV2.FSM_Status_InvertedU:GreaterThen:10"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","False"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","1775582943910000000"
"StartRawTime","1775582943910000000"
"Index","Date","ClockTime","RawTime","TraceSampID","R_Delta3.Monitor.CmdPosCartesian.Base.x.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Acc:LREAL","newPieceAvailable:BOOL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Vel_Trans:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Acc_Trans:LREAL","R_Delta3.TrajV2.Monitor.Status.Movement.MovingSync:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Stopped:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Aborting:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.LastBlending_Active:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.MovementInBuffer:BOOL","InvertedU_trajV2.MoveSync:BOOL","R_Delta3.TrajV2.Actions.MoveSync:BOOL"
"1193","2026-04-07","17:29:03.97","1775582943974000000","","199.99999999999997","150","-815.20833250355315","0","0","196.64688890833304","0","0","1","4880.6009094164438","196.64688890833304","4880.6009094164438","1","0","0","0","0","0","0"
"1194","2026-04-07","17:29:03.97","1775582943976000000","","199.99999999999997","150","-814.79536869092522","0","0","206.48190631396801","0","0","1","4917.5087028174858","206.48190631396801","4917.5087028174858","1","0","0","0","0","0","0"
"1195","2026-04-07","17:29:03.97","1775582943978000000","","199.99999999999997","150","-814.36261247619109","0","0","216.37810736706342","0","0","1","4948.1005265477052","216.37810736706342","4948.1005265477052","1","0","0","0","0","0","0"
"1196","2026-04-07","17:29:03.98","1775582943980000000","","199.99999999999997","150","-813.90996631270821","0","0","226.323081741441","0","0","1","4972.4871871887899","226.323081741441","4972.4871871887899","1","0","0","0","0","0","0"
"1197","2026-04-07","17:29:03.98","1775582943982000000","","199.99999999999997","150","-813.43735703126106","0","0","236.30464072357427","0","0","1","4990.7794910666325","236.30464072357427","4990.7794910666325","1","0","0","0","0","0","0"
"1198","2026-04-07","17:29:03.98","1775582943984000000","","199.99999999999997","150","-812.94473539683474","0","0","246.31081721315695","0","0","1","5003.0882447913427","246.31081721315695","5003.0882447913427","1","0","0","0","0","0","0"
"1199","2026-04-07","17:29:03.98","1775582943986000000","","199.99999999999997","150","-812.43207566538933","0","0","256.32986572270511","0","0","1","5009.5242547740781","256.32986572270511","5009.5242547740781","1","0","0","0","0","0","0"
"1200","2026-04-07","17:29:03.98","1775582943988000000","","199.99999999999997","150","-811.89937514063342","0","0","266.350262377955","0","0","1","5010.1983276249484","266.350262377955","5010.1983276249484","1","0","0","0","0","0","0"
"1201","2026-04-07","17:29:03.99","1775582943990000000","","199.99999999999997","150","-811.34665373079918","0","0","276.36070491712417","0","0","1","5005.221269584581","276.36070491712417","5005.221269584581","1","0","0","0","0","0","0"
"1202","2026-04-07","17:29:03.99","1775582943992000000","","199.99999999999997","150","-810.77395350541508","0","0","286.35011269204824","0","0","1","4994.7038874620375","286.35011269204824","4994.7038874620375","1","0","0","0","0","0","0"
"1203","2026-04-07","17:29:03.99","1775582943994000000","","199.99999999999997","150","-810.18133825208133","0","0","296.3076266668736","0","0","1","4978.7569874126802","296.3076266668736","4978.7569874126802","1","0","0","0","0","0","0"
"1204","2026-04-07","17:29:03.99","1775582943996000000","","199.99999999999997","150","-809.56889303324283","0","0","306.22260941925106","0","0","1","4957.4913761887274","306.22260941925106","4957.4913761887274","1","0","0","0","0","0","0"
"1205","2026-04-07","17:29:03.99","1775582943998000000","","199.99999999999997","150","-808.93672374296386","0","0","316.0846451394832","0","0","1","4931.0178601160715","316.0846451394832","4931.0178601160715","1","0","0","0","0","0","0"
"1206","2026-04-07","17:29:04.00","1775582944000000000","","199.99999999999997","150","-808.28495666370191","0","0","325.88353963097916","0","0","1","4899.4472457479787","325.88353963097916","4899.4472457479787","1","0","0","0","0","0","0"
"1207","2026-04-07","17:29:04.00","1775582944002000000","","199.99999999999997","150","-807.61373802308174","0","0","335.60932031008406","0","0","1","4862.8903395524503","335.60932031008406","4862.8903395524503","1","0","0","0","0","0","0"
"1208","2026-04-07","17:29:04.00","1775582944004000000","","199.99999999999997","150","-806.92323355066958","0","0","345.25223620607903","0","0","1","4821.4579479974873","345.25223620607903","4821.4579479974873","1","0","0","0","0","0","0"
"1209","2026-04-07","17:29:04.00","1775582944006000000","","199.99999999999997","150","-806.21362803474699","0","0","354.8027579612949","0","0","1","4775.2608776079342","354.8027579612949","4775.2608776079342","1","0","0","0","0","0","0"
"1210","2026-04-07","17:29:04.00","1775582944008000000","","199.99999999999997","150","-805.48512487908511","0","0","364.25157783094164","0","0","1","4724.4099348233703","364.25157783094164","4724.4099348233703","1","0","0","0","0","0","0"
"1211","2026-04-07","17:29:04.01","1775582944010000000","","199.99999999999997","150","-804.73794565971855","0","0","373.58960968327892","0","0","1","4669.0159261686404","373.58960968327892","4669.0159261686404","1","0","0","0","0","0","0"
"1212","2026-04-07","17:29:04.01","1775582944012000000","","199.99999999999997","150","-803.97232968171966","0","0","382.80798899944557","0","0","1","4609.1896580833236","382.80798899944557","4609.1896580833236","1","0","0","0","0","0","0"
"1213","2026-04-07","17:29:04.01","1775582944014000000","","199.99999999999997","150","-803.1885335359724","0","0","391.8980728736301","0","0","1","4545.0419370922646","391.8980728736301","4545.0419370922646","1","0","0","0","0","0","0"
"1214","2026-04-07","17:29:04.01","1775582944016000000","","199.99999999999997","150","-802.38683065594637","0","0","400.85144001301387","0","0","1","4476.6835696918861","400.85144001301387","4476.6835696918861","1","0","0","0","0","0","0"
"1215","2026-04-07","17:29:04.01","1775582944018000000","","199.99999999999997","150","-801.56751087447094","0","0","409.65989073771425","0","0","1","4404.2253623501892","409.65989073771425","4404.2253623501892","1","0","0","0","0","0","0"
"1216","2026-04-07","17:29:04.02","1775582944020000000","","199.99999999999997","150","-800.73087998050971","0","0","418.31544698061407","0","0","1","4327.77812144991","418.31544698061407","4327.77812144991","1","0","0","0","0","0","0"
"1217","2026-04-07","17:29:04.02","1775582944022000000","","199.99999999999997","150","-799.87725927593362","0","0","426.81035228804376","0","0","1","4247.4526537148449","426.81035228804376","4247.4526537148449","1","0","0","0","0","0","0"
"1218","2026-04-07","17:29:04.02","1775582944024000000","","199.99999999999997","150","-799.00698513229599","0","0","435.137071818815","0","0","1","4163.3597653856214","435.137071818815","4163.3597653856214","1","0","0","0","0","0","0"
"1219","2026-04-07","17:29:04.02","1775582944026000000","","199.99999999999997","150","-798.12040854760608","0","0","443.2882923449597","0","0","1","4075.610263072349","443.2882923449597","4075.610263072349","1","0","0","0","0","0","0"
"1220","2026-04-07","17:29:04.02","1775582944028000000","","199.99999999999997","150","-797.21789470310307","0","0","451.2569222515026","0","0","1","3984.3149532714506","451.2569222515026","3984.3149532714506","1","0","0","0","0","0","0"
"1221","2026-04-07","17:29:04.03","1775582944030000000","","199.99999999999997","150","-796.2998225200306","0","0","459.03609153623393","0","0","1","3889.5846423656621","459.03609153623393","3889.5846423656621","1","0","0","0","0","0","0"
"1222","2026-04-07","17:29:04.03","1775582944032000000","","199.99999999999997","150","-795.36658421641027","0","0","466.61915181016411","0","0","1","3791.5301369650933","466.61915181016411","3791.5301369650933","1","0","0","0","0","0","0"
"1223","2026-04-07","17:29:04.03","1775582944034000000","","199.99999999999997","150","-794.41858486381602","0","0","473.99967629712592","0","0","1","3690.2622434809018","473.99967629712592","3690.2622434809018","1","0","0","0","0","0","0"
"1224","2026-04-07","17:29:04.03","1775582944036000000","","199.99999999999997","150","-793.45624194414802","0","0","481.17145983400178","0","0","1","3585.8917684379321","481.17145983400178","3585.8917684379321","1","0","0","0","0","0","0"
"1225","2026-04-07","17:29:04.03","1775582944038000000","","199.99999999999997","150","-792.47998490640714","0","0","488.12851887043962","0","0","1","3478.5295182189202","488.12851887043962","3478.5295182189202","1","0","0","0","0","0","0"
"1226","2026-04-07","17:29:04.04","1775582944040000000","","199.99999999999997","150","-791.4902547234683","0","0","494.86509146942126","0","0","1","3368.2862994908191","494.86509146942126","3368.2862994908191","1","0","0","0","0","0","0"
"1227","2026-04-07","17:29:04.04","1775582944042000000","","199.99999999999997","150","-790.48750344885525","0","0","501.37563730652346","0","0","1","3255.2729185510998","501.37563730652346","3255.2729185510998","1","0","0","0","0","0","0"
"1228","2026-04-07","17:29:04.04","1775582944044000000","","199.99999999999997","150","-789.47219377351405","0","0","507.65483767060005","0","0","1","3139.6001820382935","507.65483767060005","3139.6001820382935","1","0","0","0","0","0","0"
"1229","2026-04-07","17:29:04.04","1775582944046000000","","199.99999999999997","150","-788.44479858258762","0","0","513.69759546321347","0","0","1","3021.3788963067145","513.69759546321347","3021.3788963067145","1","0","0","0","0","0","0"
"1230","2026-04-07","17:29:04.04","1775582944048000000","","199.99999999999997","150","-787.40580051218933","0","0","519.49903519914642","0","0","1","2900.7198679664725","519.49903519914642","2900.7198679664725","1","0","0","0","0","0","0"
"1231","2026-04-07","17:29:04.05","1775582944050000000","","199.99999999999997","150","-786.35569150617755","0","0","525.05450300589018","0","0","1","2777.7339033718818","525.05450300589018","2777.7339033718818","1","0","0","0","0","0","0"
"1232","2026-04-07","17:29:04.05","1775582944052000000","","199.99999999999997","150","-785.29497237292935","0","0","530.35956662409944","0","0","1","2652.5318091046302","530.35956662409944","2652.5318091046302","1","0","0","0","0","0","0"
"1233","2026-04-07","17:29:04.05","1775582944054000000","","199.99999999999997","150","-784.22415234211451","0","0","535.41001540742172","0","0","1","2525.2243916611405","535.41001540742172","2525.2243916611405","1","0","0","0","0","0","0"
"1234","2026-04-07","17:29:04.05","1775582944056000000","","199.99999999999997","150","-783.14374862146997","0","0","540.20186032227002","0","0","1","2395.9224574241489","540.20186032227002","2395.9224574241489","1","0","0","0","0","0","0"
"1235","2026-04-07","17:29:04.05","1775582944058000000","","199.99999999999997","150","-782.05428595357353","0","0","544.73133394822071","0","0","1","2264.7368129753431","544.73133394822071","2264.7368129753431","1","0","0","0","0","0","0"
"1236","2026-04-07","17:29:04.06","1775582944060000000","","199.99999999999997","150","-780.95629617261795","0","0","548.99489047778616","0","0","1","2131.7782647827244","548.99489047778616","2131.7782647827244","1","0","0","0","0","0","0"
"1237","2026-04-07","17:29:04.06","1775582944062000000","","199.99999999999997","150","-779.85031776118547","0","0","552.98920571624421","0","0","1","1997.1576192290286","552.98920571624421","1997.1576192290286","1","0","0","0","0","0","0"
"1238","2026-04-07","17:29:04.06","1775582944064000000","","199.99999999999997","150","-778.73689540702094","0","0","556.71117708226348","0","0","1","1860.9856830096305","556.71117708226348","1860.9856830096305","1","0","0","0","0","0","0"
"1239","2026-04-07","17:29:04.06","1775582944066000000","","199.99999999999997","150","-777.61657955980684","0","0","560.15792360705063","0","0","1","1723.3732623935794","560.15792360705063","1723.3732623935794","1","0","0","0","0","0","0"
"1240","2026-04-07","17:29:04.06","1775582944068000000","","199.99999999999997","150","-776.48992598793689","0","0","563.32678593497576","0","0","1","1584.431163962563","563.32678593497576","1584.431163962563","1","0","0","0","0","0","0"
"1241","2026-04-07","17:29:04.07","1775582944070000000","","199.99999999999997","150","-775.35749533529008","0","0","566.21532632340177","0","0","1","1444.2701942130043","566.21532632340177","1444.2701942130043","1","0","0","0","0","0","0"
"1242","2026-04-07","17:29:04.07","1775582944072000000","","199.99999999999997","150","-774.21985267800471","0","0","568.82132864268442","0","0","1","1303.001159641326","568.82132864268442","1303.001159641326","1","0","0","0","0","0","0"
"1243","2026-04-07","17:29:04.07","1775582944074000000","","199.99999999999997","150","-773.0775670812526","0","0","571.14279837605864","0","0","1","1160.7348666871076","571.14279837605864","1160.7348666871076","1","0","0","0","0","0","0"
"1244","2026-04-07","17:29:04.07","1775582944076000000","","199.99999999999997","150","-771.93121115601321","0","0","573.17796261969534","0","0","1","1017.5821218183501","573.17796261969534","1017.5821218183501","1","0","0","0","0","0","0"
"1245","2026-04-07","17:29:04.07","1775582944078000000","","199.99999999999997","150","-770.78136061584757","0","0","574.92527008281513","0","0","1","873.65373155989801","574.92527008281513","873.65373155989801","1","0","0","0","0","0","0"
"1246","2026-04-07","17:29:04.08","1775582944080000000","","199.99999999999997","150","-769.62859383367208","0","0","576.38339108774517","0","0","1","729.06050246501763","576.38339108774517","729.06050246501763","1","0","0","0","0","0","0"
"1247","2026-04-07","17:29:04.08","1775582944082000000","","199.99999999999997","150","-768.47349139853327","0","0","577.55121756940753","0","0","1","583.91324083117979","577.55121756940753","583.91324083117979","1","0","0","0","0","0","0"
"1248","2026-04-07","17:29:04.08","1775582944084000000","","199.99999999999997","150","-767.31663567238104","0","0","578.42786307611505","0","0","1","438.32275335375925","578.42786307611505","438.32275335375925","1","0","0","0","0","0","0"
"1249","2026-04-07","17:29:04.08","1775582944086000000","","199.99999999999997","150","-766.15861034684337","0","0","579.01266276883234","0","0","1","292.39984635864857","579.01266276883234","292.39984635864857","1","0","0","0","0","0","0"
"1250","2026-04-07","17:29:04.08","1775582944088000000","","199.99999999999997","150","-765","0","0","579.30517342168741","0","0","1","146.25532642753569","579.30517342168741","146.25532642753569","1","0","0","0","0","0","0"
"1251","2026-04-07","17:29:04.09","1775582944090000000","","200.00000582938398","149.99966902587897","-763.84138965315663","0.0029146920041966951","-0.16548706051366935","579.30517342168741","1.4573460020983475","-82.743530256834674","1","0","579.30519706592827","0.011822120427495975","1","0","0","0","0","0","0"
"1252","2026-04-07","17:29:04.09","1775582944092000000","","200.00004723846033","149.99737132916573","-762.68336432761896","0.02070453817282214","-1.1488483566211016","579.01266276883234","8.8949230843127225","-491.68064805371614","1","-146.25532642753569","579.0138028820021","-145.69709196308622","1","0","0","0","0","0","0"
"1253","2026-04-07","17:29:04.09","1775582944094000000","","200.00016143968688","149.99119252347663","-761.52650860146673","0.057100613275906653","-3.0894028445516142","578.42786307611505","18.198037551542257","-970.27724396525628","1","-292.39984635864857","578.43611613834832","-288.84337182688569","1","0","0","0","0","0","0"
"1254","2026-04-07","17:29:04.09","1775582944096000000","","200.00038737335657","149.97927481210928","-760.3714061663278","0.11296683484829373","-5.9588556836729367","577.55121756946437","27.933110786193538","-1434.7264195606613","1","-438.32275332533754","577.58196789593023","-427.07412120904564","1","0","0","0","0","0","0"
"1255","2026-04-07","17:29:04.09","1775582944098000000","","200.00076564937117","149.95981643324194","-759.21863938415243","0.18913800730047114","-9.7291894336706264","576.38339108768832","38.085586226088708","-1885.1668749988448","1","-583.91324088802321","576.46552925735739","-558.21931928642243","1","0","0","0","0","0","0"
"1256","2026-04-07","17:29:04.10","1775582944100000000","","200.00133848953399","149.93107110513233","-758.06878884398679","0.28642008140877806","-14.372664054803863","574.92527008281513","48.641037054153458","-2321.7373105666184","1","-729.06050243659593","575.10496580041217","-680.28172847260748","1","0","0","0","0","0","0"
"1257","2026-04-07","17:29:04.10","1775582944102000000","","200.00214967036163","149.8913474713172","-756.9224329187474","0.40559041381982297","-19.861816907564389","573.17796261969534","59.585166205522455","-2744.576426380263","1","-873.65373155989801","573.52212957070651","-791.41811485283142","1","0","0","0","0","0","0"
"1258","2026-04-07","17:29:04.10","1775582944104000000","","200.00324446641454","149.83900854581151","-755.78014732199529","0.54739802645542568","-26.169462752847039","571.14279837605864","70.903806317801354","-3153.822922641325","1","-1017.5821218183501","571.74228159390759","-889.92398839945963","1","0","0","0","0","0","0"
"1259","2026-04-07","17:29:04.10","1775582944106000000","","200.00466959414666","149.77247115830738","-754.64250466470992","0.71256386605966782","-33.268693752063427","568.82132864268442","82.582919802121069","-3549.6154996081941","1","-1160.7348666871076","569.79383784844549","-974.2218727310501","1","0","0","0","0","0","0"
"1260","2026-04-07","17:29:04.10","1775582944108000000","","200.00647315627387","149.69020539937355","-753.510074012063","0.90178106360383481","-41.132879466914574","566.21532632345861","94.608598772083496","-3932.0928574255731","1","-1303.0011596129043","567.70813165385175","-1042.8530972968701","1","0","0","0","0","0","0"
"1261","2026-04-07","17:29:04.11","1775582944110000000","","200.00870458666154","149.59073406565443","-752.38342044019305","1.1157151938334664","-49.735666859561434","563.32678593497576","106.9670651148158","-4301.39369632343","1","-1444.270194241426","565.51918546605395","-1094.4730938988982","1","0","0","0","0","0","0"
"1262","2026-04-07","17:29:04.11","1775582944112000000","","200.01141459573088","149.47263210506929","-751.26310459297906","1.3550045346732986","-59.050980292568056","560.15792360699379","119.64467041991611","-4657.6567165033111","1","-1584.4311639909847","563.26348513861706","-1127.850163718449","1","0","0","0","0","0","0"
"1263","2026-04-07","17:29:04.11","1775582944114000000","","200.01465511638435","149.33452606201172","-750.14968223881453","1.6202603267316817","-69.053021528787895","556.71117708226348","132.62789602919156","-5001.0206181099193","1","-1723.3732623651576","560.97974982533992","-1141.867656638567","1","0","0","0","0","0","0"
"1264","2026-04-07","17:29:04.11","1775582944116000000","","200.01847925044979","149.17509352254842","-749.04370382738193","1.9120670327197331","-79.716269731648026","552.98920571630106","145.90335299402568","-5331.6241014300658","1","-1860.9856829812088","558.70869091057818","-1135.5294573808692","1","0","0","0","0","0","0"
"1265","2026-04-07","17:29:04.11","1775582944118000000","","200.02294121564398","148.99306255961881","-747.94571404642647","2.2309825970978636","-91.01548146480809","548.99489047772931","159.45778218906526","-5649.6058665800319","1","-1997.157619285872","556.49275369969848","-1107.9686054398508","1","0","0","0","0","0","0"
"1266","2026-04-07","17:29:04.12","1775582944120000000","","200.0280962930544","148.78721117823392","-746.85625137853003","2.5775387052107135","-102.9256906924445","544.73133394822071","173.27805405642493","-5955.1046138182073","1","-2131.7782647543027","554.37583613943855","-1058.4587801299676","1","0","0","0","0","0","0"
"1267","2026-04-07","17:29:04.12","1775582944122000000","","200.03400077514095","148.5563667606757","-745.77584765788549","2.9522410432747392","-115.42220877910836","540.20186032227002","187.35116903201288","-6248.2590433319274","1","-2264.7368129753431","552.40297962833881","-986.42825554986757","1","0","0","0","0","0","0"
