"TraceType","Single"
"TriggerType",""
"SamplePeriod","0:0:1:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","4500"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix",""

"SampleTimingType","cyclic"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","True:InvertedU_trajV2.FSM_Status_InvertedU:GreaterThen:10"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","False"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","1775582995342000000"
"StartRawTime","1775582995342000000"
"Index","Date","ClockTime","RawTime","TraceSampID","R_Delta3.Monitor.CmdPosCartesian.Base.x.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Acc:LREAL","newPieceAvailable:BOOL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Vel_Trans:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Acc_Trans:LREAL","R_Delta3.TrajV2.Monitor.Status.Movement.MovingSync:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Stopped:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Aborting:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.LastBlending_Active:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.MovementInBuffer:BOOL","InvertedU_trajV2.MoveSync:BOOL","R_Delta3.TrajV2.Actions.MoveSync:BOOL"
"1421","2026-04-07","17:29:55.36","1775582995362000000","","200.00000000000003","150","-819.82102290293869","0","0","23.677873365670621","0","0","1","2246.4168074236568","23.677873365670621","2246.4168074236568","1","0","0","0","0","0","0"
"1422","2026-04-07","17:29:55.36","1775582995364000000","","200.00000000000003","150","-819.76386591631183","0","0","28.578493313432318","0","0","1","2450.3099738808487","28.578493313432318","2450.3099738808487","1","0","0","0","0","0","0"
"1423","2026-04-07","17:29:55.36","1775582995366000000","","200.00000000000003","150","-819.69612713197318","0","0","33.869392169322055","0","0","1","2645.4494279448681","33.869392169322055","2645.4494279448681","1","0","0","0","0","0","0"
"1424","2026-04-07","17:29:55.36","1775582995368000000","","200.00000000000003","150","-819.61706056372964","0","0","39.533284121773704","0","0","1","2831.9459762258248","39.533284121773704","2831.9459762258248","1","0","0","0","0","0","0"
"1425","2026-04-07","17:29:55.37","1775582995370000000","","200.00000000000003","150","-819.52595435378578","0","0","45.55310497192977","0","0","1","3009.9104250780329","45.55310497192977","3009.9104250780329","1","0","0","0","0","0","0"
"1426","2026-04-07","17:29:55.37","1775582995372000000","","200.00000000000003","150","-819.42213032951724","0","0","51.912012134266661","0","0","1","3179.4535811684455","51.912012134266661","3179.4535811684455","1","0","0","0","0","0","0"
"1427","2026-04-07","17:29:55.37","1775582995374000000","","200.00000000000003","150","-819.30494356024542","0","0","58.593384635912571","0","0","1","3340.6862508229551","58.593384635912571","3340.6862508229551","1","0","0","0","0","0","0"
"1428","2026-04-07","17:29:55.37","1775582995376000000","","200.00000000000003","150","-819.17378191401133","0","0","65.580823117045384","0","0","1","3493.7192405664064","65.580823117045384","3493.7192405664064","1","0","0","0","0","0","0"
"1429","2026-04-07","17:29:55.37","1775582995378000000","","200.00000000000003","150","-819.02806561434943","0","0","72.858149830949515","0","0","1","3638.6633569520654","72.858149830949515","3638.6633569520654","1","0","0","0","0","0","0"
"1430","2026-04-07","17:29:55.38","1775582995380000000","","200.00000000000003","150","-818.86724679706219","0","0","80.409408643618008","0","0","1","3775.6294063342466","80.409408643618008","3775.6294063342466","1","0","0","0","0","0","0"
"1431","2026-04-07","17:29:55.38","1775582995382000000","","200.00000000000003","150","-818.69080906699355","0","0","88.21886503432097","0","0","1","3904.7281953514812","88.21886503432097","3904.7281953514812","1","0","0","0","0","0","0"
"1432","2026-04-07","17:29:55.38","1775582995384000000","","200.00000000000003","150","-818.49826705480336","0","0","96.271006095093981","0","0","1","4026.0705303865052","96.271006095093981","4026.0705303865052","1","0","0","0","0","0","0"
"1433","2026-04-07","17:29:55.38","1775582995386000000","","200.00000000000003","150","-818.28916597374143","0","0","104.55054053096546","0","0","1","4139.7672179357414","104.55054053096546","4139.7672179357414","1","0","0","0","0","0","0"
"1434","2026-04-07","17:29:55.38","1775582995388000000","","200.00000000000003","150","-818.06308117642141","0","0","113.04239866001353","0","0","1","4245.9290645240344","113.04239866001353","4245.9290645240344","1","0","0","0","0","0","0"
"1435","2026-04-07","17:29:55.39","1775582995390000000","","200.00000000000003","150","-817.81961771159501","0","0","121.73173241319546","0","0","1","4344.6668765909635","121.73173241319546","4344.6668765909635","1","0","0","0","0","0","0"
"1436","2026-04-07","17:29:55.39","1775582995392000000","","200.00000000000003","150","-817.55840988092609","0","0","130.60391533446136","0","0","1","4436.0914606329516","130.60391533446136","4436.0914606329516","1","0","0","0","0","0","0"
"1437","2026-04-07","17:29:55.39","1775582995394000000","","200.00000000000003","150","-817.27912079576424","0","0","139.64454258092474","0","0","1","4520.3136232316865","139.64454258092474","4520.3136232316865","1","0","0","0","0","0","0"
"1438","2026-04-07","17:29:55.39","1775582995396000000","","200.00000000000003","150","-816.98144193391988","0","0","148.83943092218033","0","0","1","4597.4441706277958","148.83943092218033","4597.4441706277958","1","0","0","0","0","0","0"
"1439","2026-04-07","17:29:55.39","1775582995398000000","","200.00000000000003","150","-816.665092696437","0","0","158.17461874144101","0","0","1","4667.5939096303409","158.17461874144101","4667.5939096303409","1","0","0","0","0","0","0"
"1440","2026-04-07","17:29:55.40","1775582995400000000","","200.00000000000003","150","-816.32981996436831","0","0","167.63636603434406","0","0","1","4730.8736464515277","167.63636603434406","4730.8736464515277","1","0","0","0","0","0","0"
"1441","2026-04-07","17:29:55.40","1775582995402000000","","200.00000000000003","150","-815.97539765554882","0","0","177.211154409747","0","0","1","4787.3941877014659","177.211154409747","4787.3941877014659","1","0","0","0","0","0","0"
"1442","2026-04-07","17:29:55.40","1775582995404000000","","200.00000000000003","150","-815.60162628136982","0","0","186.88568708950015","0","0","1","4837.2663398765781","186.88568708950015","4837.2663398765781","1","0","0","0","0","0","0"
"1443","2026-04-07","17:29:55.40","1775582995406000000","","200.00000000000003","150","-815.20833250355315","0","0","196.64688890833304","0","0","1","4880.6009094164438","196.64688890833304","4880.6009094164438","1","0","0","0","0","0","0"
"1444","2026-04-07","17:29:55.40","1775582995408000000","","200.00000000000003","150","-814.79536869092522","0","0","206.48190631396801","0","0","1","4917.5087028174858","206.48190631396801","4917.5087028174858","1","0","0","0","0","0","0"
"1445","2026-04-07","17:29:55.41","1775582995410000000","","200.00000000000003","150","-814.36261247619109","0","0","216.37810736706342","0","0","1","4948.1005265477052","216.37810736706342","4948.1005265477052","1","0","0","0","0","0","0"
"1446","2026-04-07","17:29:55.41","1775582995412000000","","200.00000000000003","150","-813.90996631270821","0","0","226.323081741441","0","0","1","4972.4871871887899","226.323081741441","4972.4871871887899","1","0","0","0","0","0","0"
"1447","2026-04-07","17:29:55.41","1775582995414000000","","200.00000000000003","150","-813.43735703126106","0","0","236.30464072357427","0","0","1","4990.7794910666325","236.30464072357427","4990.7794910666325","1","0","0","0","0","0","0"
"1448","2026-04-07","17:29:55.41","1775582995416000000","","200.00000000000003","150","-812.94473539683474","0","0","246.31081721315695","0","0","1","5003.0882447913427","246.31081721315695","5003.0882447913427","1","0","0","0","0","0","0"
"1449","2026-04-07","17:29:55.41","1775582995418000000","","200.00000000000003","150","-812.43207566538933","0","0","256.32986572270511","0","0","1","5009.5242547740781","256.32986572270511","5009.5242547740781","1","0","0","0","0","0","0"
"1450","2026-04-07","17:29:55.42","1775582995420000000","","200.00000000000003","150","-811.89937514063342","0","0","266.350262377955","0","0","1","5010.1983276249484","266.350262377955","5010.1983276249484","1","0","0","0","0","0","0"
"1451","2026-04-07","17:29:55.42","1775582995422000000","","200.00000000000003","150","-811.34665373079918","0","0","276.36070491712417","0","0","1","5005.221269584581","276.36070491712417","5005.221269584581","1","0","0","0","0","0","0"
"1452","2026-04-07","17:29:55.42","1775582995424000000","","200.00000000000003","150","-810.77395350541508","0","0","286.35011269204824","0","0","1","4994.7038874620375","286.35011269204824","4994.7038874620375","1","0","0","0","0","0","0"
"1453","2026-04-07","17:29:55.42","1775582995426000000","","200.00000000000003","150","-810.18133825208133","0","0","296.3076266668736","0","0","1","4978.7569874126802","296.3076266668736","4978.7569874126802","1","0","0","0","0","0","0"
"1454","2026-04-07","17:29:55.42","1775582995428000000","","200.00000000000003","150","-809.56889303324283","0","0","306.22260941925106","0","0","1","4957.4913761887274","306.22260941925106","4957.4913761887274","1","0","0","0","0","0","0"
"1455","2026-04-07","17:29:55.43","1775582995430000000","","200.00000000000003","150","-808.93672374296386","0","0","316.0846451394832","0","0","1","4931.0178601160715","316.0846451394832","4931.0178601160715","1","0","0","0","0","0","0"
"1456","2026-04-07","17:29:55.43","1775582995432000000","","200.00000000000003","150","-808.28495666370191","0","0","325.88353963097916","0","0","1","4899.4472457479787","325.88353963097916","4899.4472457479787","1","0","0","0","0","0","0"
"1457","2026-04-07","17:29:55.43","1775582995434000000","","200.00000000000003","150","-807.61373802308174","0","0","335.60932031008406","0","0","1","4862.8903395524503","335.60932031008406","4862.8903395524503","1","0","0","0","0","0","0"
"1458","2026-04-07","17:29:55.43","1775582995436000000","","200.00000000000003","150","-806.92323355066958","0","0","345.25223620607903","0","0","1","4821.4579479974873","345.25223620607903","4821.4579479974873","1","0","0","0","0","0","0"
"1459","2026-04-07","17:29:55.43","1775582995438000000","","200.00000000000003","150","-806.21362803474699","0","0","354.8027579612949","0","0","1","4775.2608776079342","354.8027579612949","4775.2608776079342","1","0","0","0","0","0","0"
"1460","2026-04-07","17:29:55.44","1775582995440000000","","200.00000000000003","150","-805.48512487908511","0","0","364.25157783094164","0","0","1","4724.4099348233703","364.25157783094164","4724.4099348233703","1","0","0","0","0","0","0"
"1461","2026-04-07","17:29:55.44","1775582995442000000","","200.00000000000003","150","-804.73794565971855","0","0","373.58960968327892","0","0","1","4669.0159261686404","373.58960968327892","4669.0159261686404","1","0","0","0","0","0","0"
"1462","2026-04-07","17:29:55.44","1775582995444000000","","200.00000000000003","150","-803.97232968171966","0","0","382.80798899944557","0","0","1","4609.1896580833236","382.80798899944557","4609.1896580833236","1","0","0","0","0","0","0"
"1463","2026-04-07","17:29:55.44","1775582995446000000","","200.00000000000003","150","-803.1885335359724","0","0","391.8980728736301","0","0","1","4545.0419370922646","391.8980728736301","4545.0419370922646","1","0","0","0","0","0","0"
"1464","2026-04-07","17:29:55.44","1775582995448000000","","200.00000000000003","150","-802.38683065594637","0","0","400.85144001301387","0","0","1","4476.6835696918861","400.85144001301387","4476.6835696918861","1","0","0","0","0","0","0"
"1465","2026-04-07","17:29:55.45","1775582995450000000","","200.00000000000003","150","-801.56751087447094","0","0","409.65989073771425","0","0","1","4404.2253623501892","409.65989073771425","4404.2253623501892","1","0","0","0","0","0","0"
"1466","2026-04-07","17:29:55.45","1775582995452000000","","200.00000000000003","150","-800.73087998050971","0","0","418.31544698061407","0","0","1","4327.77812144991","418.31544698061407","4327.77812144991","1","0","0","0","0","0","0"
"1467","2026-04-07","17:29:55.45","1775582995454000000","","200.00000000000003","150","-799.87725927593362","0","0","426.81035228804376","0","0","1","4247.4526537148449","426.81035228804376","4247.4526537148449","1","0","0","0","0","0","0"
"1468","2026-04-07","17:29:55.45","1775582995456000000","","200.00000000000003","150","-799.00698513229599","0","0","435.137071818815","0","0","1","4163.3597653856214","435.137071818815","4163.3597653856214","1","0","0","0","0","0","0"
"1469","2026-04-07","17:29:55.45","1775582995458000000","","200.00000000000003","150","-798.12040854760608","0","0","443.2882923449597","0","0","1","4075.610263072349","443.2882923449597","4075.610263072349","1","0","0","0","0","0","0"
"1470","2026-04-07","17:29:55.46","1775582995460000000","","200.00000000000003","150","-797.21789470310307","0","0","451.2569222515026","0","0","1","3984.3149532714506","451.2569222515026","3984.3149532714506","1","0","0","0","0","0","0"
"1471","2026-04-07","17:29:55.46","1775582995462000000","","200.00000000000003","150","-796.2998225200306","0","0","459.03609153623393","0","0","1","3889.5846423656621","459.03609153623393","3889.5846423656621","1","0","0","0","0","0","0"
"1472","2026-04-07","17:29:55.46","1775582995464000000","","200.00000000000003","150","-795.36658421641027","0","0","466.61915181016411","0","0","1","3791.5301369650933","466.61915181016411","3791.5301369650933","1","0","0","0","0","0","0"
"1473","2026-04-07","17:29:55.46","1775582995466000000","","200.00000000000003","150","-794.41858486381602","0","0","473.99967629712592","0","0","1","3690.2622434809018","473.99967629712592","3690.2622434809018","1","0","0","0","0","0","0"
"1474","2026-04-07","17:29:55.46","1775582995468000000","","200.00000000000003","150","-793.45624194414802","0","0","481.17145983400178","0","0","1","3585.8917684379321","481.17145983400178","3585.8917684379321","1","0","0","0","0","0","0"
"1475","2026-04-07","17:29:55.47","1775582995470000000","","200.00000000000003","150","-792.47998490640714","0","0","488.12851887043962","0","0","1","3478.5295182189202","488.12851887043962","3478.5295182189202","1","0","0","0","0","0","0"
"1476","2026-04-07","17:29:55.47","1775582995472000000","","200.00000000000003","150","-791.4902547234683","0","0","494.86509146942126","0","0","1","3368.2862994908191","494.86509146942126","3368.2862994908191","1","0","0","0","0","0","0"
"1477","2026-04-07","17:29:55.47","1775582995474000000","","200.00000000000003","150","-790.48750344885525","0","0","501.37563730652346","0","0","1","3255.2729185510998","501.37563730652346","3255.2729185510998","1","0","0","0","0","0","0"
"1478","2026-04-07","17:29:55.47","1775582995476000000","","200.00000000000003","150","-789.47219377351405","0","0","507.65483767060005","0","0","1","3139.6001820382935","507.65483767060005","3139.6001820382935","1","0","0","0","0","0","0"
"1479","2026-04-07","17:29:55.47","1775582995478000000","","200.00000000000003","150","-788.44479858258762","0","0","513.69759546321347","0","0","1","3021.3788963067145","513.69759546321347","3021.3788963067145","1","0","0","0","0","0","0"
"1480","2026-04-07","17:29:55.48","1775582995480000000","","200.00000000000003","150","-787.40580051218933","0","0","519.49903519914642","0","0","1","2900.7198679664725","519.49903519914642","2900.7198679664725","1","0","0","0","0","0","0"
"1481","2026-04-07","17:29:55.48","1775582995482000000","","200.00000000000003","150","-786.35569150617755","0","0","525.05450300589018","0","0","1","2777.7339033718818","525.05450300589018","2777.7339033718818","1","0","0","0","0","0","0"
"1482","2026-04-07","17:29:55.48","1775582995484000000","","200.00000000000003","150","-785.29497237292935","0","0","530.35956662409944","0","0","1","2652.5318091046302","530.35956662409944","2652.5318091046302","1","0","0","0","0","0","0"
"1483","2026-04-07","17:29:55.48","1775582995486000000","","200.00000000000003","150","-784.22415234211451","0","0","535.41001540742172","0","0","1","2525.2243916611405","535.41001540742172","2525.2243916611405","1","0","0","0","0","0","0"
"1484","2026-04-07","17:29:55.48","1775582995488000000","","200.00000000000003","150","-783.14374862146997","0","0","540.20186032227002","0","0","1","2395.9224574241489","540.20186032227002","2395.9224574241489","1","0","0","0","0","0","0"
"1485","2026-04-07","17:29:55.49","1775582995490000000","","200.00000000000003","150","-782.05428595357353","0","0","544.73133394822071","0","0","1","2264.7368129753431","544.73133394822071","2264.7368129753431","1","0","0","0","0","0","0"
"1486","2026-04-07","17:29:55.49","1775582995492000000","","200.00000000000003","150","-780.95629617261795","0","0","548.99489047778616","0","0","1","2131.7782647827244","548.99489047778616","2131.7782647827244","1","0","0","0","0","0","0"
"1487","2026-04-07","17:29:55.49","1775582995494000000","","200.00000000000003","150","-779.85031776118547","0","0","552.98920571624421","0","0","1","1997.1576192290286","552.98920571624421","1997.1576192290286","1","0","0","0","0","0","0"
"1488","2026-04-07","17:29:55.49","1775582995496000000","","200.00000000000003","150","-778.73689540702094","0","0","556.71117708226348","0","0","1","1860.9856830096305","556.71117708226348","1860.9856830096305","1","0","0","0","0","0","0"
"1489","2026-04-07","17:29:55.49","1775582995498000000","","200.00000000000003","150","-777.61657955980684","0","0","560.15792360705063","0","0","1","1723.3732623935794","560.15792360705063","1723.3732623935794","1","0","0","0","0","0","0"
"1490","2026-04-07","17:29:55.50","1775582995500000000","","200.00000000000003","150","-776.48992598793689","0","0","563.32678593497576","0","0","1","1584.431163962563","563.32678593497576","1584.431163962563","1","0","0","0","0","0","0"
"1491","2026-04-07","17:29:55.50","1775582995502000000","","200.00000000000003","150","-775.35749533529008","0","0","566.21532632340177","0","0","1","1444.2701942130043","566.21532632340177","1444.2701942130043","1","0","0","0","0","0","0"
"1492","2026-04-07","17:29:55.50","1775582995504000000","","200.00000000000003","150","-774.21985267800471","0","0","568.82132864268442","0","0","1","1303.001159641326","568.82132864268442","1303.001159641326","1","0","0","0","0","0","0"
"1493","2026-04-07","17:29:55.50","1775582995506000000","","200.00000000000003","150","-773.0775670812526","0","0","571.14279837605864","0","0","1","1160.7348666871076","571.14279837605864","1160.7348666871076","1","0","0","0","0","0","0"
"1494","2026-04-07","17:29:55.50","1775582995508000000","","200.00000000000003","150","-771.93121115601321","0","0","573.17796261969534","0","0","1","1017.5821218183501","573.17796261969534","1017.5821218183501","1","0","0","0","0","0","0"
"1495","2026-04-07","17:29:55.51","1775582995510000000","","200.00000000000003","150","-770.78136061584757","0","0","574.92527008281513","0","0","1","873.65373155989801","574.92527008281513","873.65373155989801","1","0","0","0","0","0","0"
"1496","2026-04-07","17:29:55.51","1775582995512000000","","200.00000000000003","150","-769.62859383367208","0","0","576.38339108774517","0","0","1","729.06050246501763","576.38339108774517","729.06050246501763","1","0","0","0","0","0","0"
"1497","2026-04-07","17:29:55.51","1775582995514000000","","200.00000000000003","150","-768.47349139853327","0","0","577.55121756940753","0","0","1","583.91324083117979","577.55121756940753","583.91324083117979","1","0","0","0","0","0","0"
"1498","2026-04-07","17:29:55.51","1775582995516000000","","200.00000000000003","150","-767.31663567238104","0","0","578.42786307611505","0","0","1","438.32275335375925","578.42786307611505","438.32275335375925","1","0","0","0","0","0","0"
"1499","2026-04-07","17:29:55.51","1775582995518000000","","200.00000000000003","150","-766.15861034684337","0","0","579.01266276883234","0","0","1","292.39984635864857","579.01266276883234","292.39984635864857","1","0","0","0","0","0","0"
"1500","2026-04-07","17:29:55.52","1775582995520000000","","200.00000000000003","150","-765","0","0","579.30517342168741","0","0","1","146.25532642753569","579.30517342168741","146.25532642753569","1","0","0","0","0","0","0"
"1501","2026-04-07","17:29:55.52","1775582995522000000","","200.00000000000003","149.99966902587897","-763.84138965315663","0","-0.16548706051366935","579.30517342168741","0","-82.743530256834674","1","0","579.30519705859581","0.011818454197509709","1","0","0","0","0","0","0"
"1502","2026-04-07","17:29:55.52","1775582995524000000","","200.00000000000003","149.99737132916573","-762.68336432761896","0","-1.1488483566211016","579.01266276883234","0","-491.68064805371614","1","-146.25532642753569","579.01380251182275","-145.69727338653138","1","0","0","0","0","0","0"
"1503","2026-04-07","17:29:55.52","1775582995526000000","","200.00000000000003","149.99119252347663","-761.52650860146673","0","-3.0894028445516142","578.42786307611505","0","-970.27724396525628","1","-292.39984635864857","578.43611331999045","-288.84459591614586","1","0","0","0","0","0","0"
"1504","2026-04-07","17:29:55.52","1775582995528000000","","200.00000000000003","149.97927481210928","-760.3714061663278","0","-5.9588556836729367","577.55121756946437","0","-1434.7264195606613","1","-438.32275332533754","577.58195684857537","-427.07823570754044","1","0","0","0","0","0","0"
"1505","2026-04-07","17:29:55.53","1775582995530000000","","200.00000000000003","149.95981643324194","-759.21863938415243","0","-9.7291894336706264","576.38339108768832","0","-1885.1668749988448","1","-583.91324088802321","576.46549822932104","-558.22930962716555","1","0","0","0","0","0","0"
"1506","2026-04-07","17:29:55.53","1775582995532000000","","200.00000000000003","149.93107110513233","-758.06878884398679","0","-14.372664054803863","574.92527008281513","0","-2321.7373105666184","1","-729.06050243659593","575.10489447737291","-680.30187597406666","1","0","0","0","0","0","0"
"1507","2026-04-07","17:29:55.53","1775582995534000000","","200.00000000000003","149.8913474713172","-756.9224329187474","0","-19.861816907564389","573.17796261969534","0","-2744.576426380263","1","-873.65373155989801","573.52198615548684","-791.454160943033","1","0","0","0","0","0","0"
"1508","2026-04-07","17:29:55.53","1775582995536000000","","200.00000000000003","149.83900854581151","-755.78014732199529","0","-26.169462752847039","571.14279837605864","0","-3153.822922641325","1","-1017.5821218183501","571.74201954868397","-889.98330340143639","1","0","0","0","0","0","0"
"1509","2026-04-07","17:29:55.53","1775582995538000000","","200.00000000000003","149.77247115830738","-754.64250466470992","0","-33.268693752063427","568.82132864268442","0","-3549.6154996081941","1","-1160.7348666871076","569.79339229478376","-974.31362695010648","1","0","0","0","0","0","0"
"1510","2026-04-07","17:29:55.54","1775582995540000000","","200.00000000000003","149.69020539937355","-753.510074012063","0","-41.132879466914574","566.21532632345861","0","-3932.0928574255731","1","-1303.0011596129043","567.7074154322986","-1042.988431242577","1","0","0","0","0","0","0"
"1511","2026-04-07","17:29:55.54","1775582995542000000","","200.00000000000003","149.59073406565443","-752.38342044019305","0","-49.735666859561434","563.32678593497576","0","-4301.39369632343","1","-1444.270194241426","565.51808486536959","-1094.6652834645079","1","0","0","0","0","0","0"
"1512","2026-04-07","17:29:55.54","1775582995544000000","","200.00000000000003","149.47263210506929","-751.26310459297906","0","-59.050980292568056","560.15792360699379","0","-4657.6567165033111","1","-1584.4311639909847","563.26185531528051","-1128.1147750445371","1","0","0","0","0","0","0"
"1513","2026-04-07","17:29:55.54","1775582995546000000","","200.00000000000003","149.33452606201172","-750.14968223881453","0","-69.053021528787895","556.71117708226348","0","-5001.0206181099193","1","-1723.3732623651576","560.97740994675939","-1142.2226842605596","1","0","0","0","0","0","0"
"1514","2026-04-07","17:29:55.54","1775582995548000000","","200.00000000000003","149.17509352254842","-749.04370382738193","0","-79.716269731648026","552.98920571630106","0","-5331.6241014300658","1","-1860.9856829812088","558.70541907043855","-1135.9954381604211","1","0","0","0","0","0","0"
"1515","2026-04-07","17:29:55.55","1775582995550000000","","200.00000000000003","148.99306255961881","-747.94571404642647","0","-91.01548146480809","548.99489047772931","0","-5649.6058665800319","1","-1997.157619285872","556.48828167080467","-1108.5686998169422","1","0","0","0","0","0","0"
"1516","2026-04-07","17:29:55.55","1775582995552000000","","200.00000000000003","148.78721117823392","-746.85625137853003","0","-102.9256906924445","544.73133394822071","0","-5955.1046138182073","1","-2131.7782647543027","554.36984404774819","-1059.2188115282397","1","0","0","0","0","0","0"
"1517","2026-04-07","17:29:55.55","1775582995554000000","","200.00000000000003","148.5563667606757","-745.77584765788549","0","-115.42220877910836","540.20186032227002","0","-6248.2590433319274","1","-2264.7368129753431","552.39509065078539","-987.37669848139831","1","0","0","0","0","0","0"
"1518","2026-04-07","17:29:55.55","1775582995556000000","","200.00000000000003","148.29940551169642","-744.70502762707065","0","-128.48062448964015","535.41001540742172","0","-6529.207855265895","1","-2395.9224574241489","550.60980327980315","-892.64368549112305","1","0","0","0","0","0","0"
"1519","2026-04-07","17:29:55.55","1775582995558000000","","200.00000000000003","148.01525190371746","-743.64430849382234","0","-142.07680398948241","530.35956662415629","0","-6798.0897499211324","1","-2525.2243916327188","549.06018626524792","-774.80850727761208","1","0","0","0","0","0","0"
