"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"301","301","-371","-1280","343","-55.2"
"302","302","-398","-1668","343","-57.8"
"303","303","-424","-2064","343","-71.35"
"304","304","-446","-2443","342","-73.7"
"305","305","-476","-2829","342","-78.65"
"306","306","-501","-3200","342","-82"
"307","307","-520","-3537","342","-71.3"
"308","308","-549","-3881","342","-71.95"
"309","309","-571","-4210","342","-74.2"
"310","310","-594","-4517","341","-61.5"
"311","311","-616","-4816","341","-62.5"
"312","312","-636","-5103","341","-57.2"
"313","313","-655","-5383","341","-57.5"
"314","314","-670","-5638","340","-48.95"
"315","315","-693","-5891","340","-41.8"
"316","316","-710","-6138","340","-44.4"
"317","317","-725","-6366","340","-33.6"
"318","318","-741","-6586","340","-30.85"
"319","319","-750","-6789","340","-25.3"
"320","320","-767","-6998","339","-25"
"321","321","-779","-7197","339","-24.65"
"322","322","-785","-7375","339","-16.9"
"323","323","-799","-7564","339","-19.25"
"324","324","-807","-7741","339","-21.7"
"325","325","-809","-7893","339","-13.05"
"326","326","-820","-8057","338","-16.55"
"327","327","-824","-8211","338","-19.95"
"328","328","-827","-8355","338","-17.65"
"329","329","-829","-8492","338","-22.2"
"330","330","-830","-8618","338","-20.8"
"331","331","-829","-8738","338","-27.5"
"332","332","-821","-8828","338","-21.85"
"333","333","-818","-8910","338","-21.65"
"334","334","-818","-8990","338","-24.55"
"335","335","-812","-9047","338","-22.1"
"336","336","-800","-9072","338","-14.1"
"337","337","-796","-9097","338","-13.9"
"338","338","-786","-9105","337","-14.3"
"339","339","-774","-9089","337","-6.55"
"340","340","-762","-9061","337","-6.35"
"341","341","-747","-9017","337","-2.5"
"342","342","-732","-8956","337","-1.6"
"343","343","-711","-8866","337","7.2"
"344","344","-698","-8770","337","12.1"
"345","345","-679","-8648","337","18.05"
"346","346","-659","-8513","337","27"
"347","347","-644","-8389","337","19.1"
"348","348","-616","-8236","337","20.75"
"349","349","-592","-8066","337","31.35"
"350","350","-568","-7897","337","22.95"
"351","351","-539","-7704","337","27.4"
"352","352","-517","-7511","337","29.5"
"353","353","-490","-7313","337","23.65"
"354","354","-463","-7098","337","29.15"
"355","355","-435","-6873","337","26.9"
"356","356","-406","-6635","337","31.1"
"357","357","-376","-6393","337","26.25"
"358","358","-345","-6136","337","30.9"
"359","359","-315","-5873","337","26.7"
"360","360","-279","-5589","337","31.7"
"361","361","-253","-5314","337","29.65"
"362","362","-221","-5030","337","24.45"
"363","363","-184","-4719","337","32.2"
"364","364","-157","-4420","337","29.85"
"365","365","-125","-4112","337","26.85"
