"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"261","261","-832","-6773","348","-87.95"
"262","262","-872","-7183","348","-87.05"
"263","263","-912","-7600","348","-87.05"
"264","264","-952","-8027","347","-92.85"
"265","265","-991","-8450","347","-90.6"
"266","266","-1031","-8884","346","-94.3"
"267","267","-1070","-9321","346","-97.6"
"268","268","-1109","-9758","345","-97.55"
"269","269","-1148","-10198","345","-100"
"270","270","-1186","-10629","344","-94.3"
"271","271","-1224","-11065","344","-97.5"
"272","272","-1262","-11499","343","-95.85"
"273","273","-1300","-11930","343","-94.2"
"274","274","-1337","-12361","342","-92.95"
"275","275","-1374","-12790","342","-94"
"276","276","-1411","-13211","340","-87.85"
"277","277","-1447","-13632","340","-87"
"278","278","-1483","-14052","339","-86.5"
"279","279","-1518","-14468","339","-84.4"
"280","280","-1553","-14885","337","-83.35"
"281","281","-1587","-15295","337","-80.85"
"282","282","-1621","-15703","336","-77.9"
"283","283","-1655","-16113","336","-80.65"
"284","284","-1688","-16520","334","-79.85"
"285","285","-1720","-16921","334","-77.45"
"286","286","-1752","-17323","333","-77.35"
"287","287","-1783","-17725","333","-79.45"
"288","288","-1813","-18122","331","-79.65"
"289","289","-1843","-18508","331","-74.4"
"290","290","-1873","-18896","330","-77.05"
"291","291","-1900","-19281","330","-78.75"
"292","292","-1929","-19660","328","-77.8"
"293","293","-1956","-20034","328","-76.75"
"294","294","-1982","-20404","327","-78.6"
"295","295","-2008","-20766","327","-77.45"
"296","296","-2032","-21123","326","-78.4"
"297","297","-2057","-21472","326","-77.15"
"298","298","-2080","-21814","325","-76.65"
"299","299","-2103","-22146","325","-75.05"
"300","300","-2124","-22469","324","-74.85"
"301","301","-2144","-22777","324","-69.5"
"302","302","-2165","-23080","322","-68.25"
"303","303","-2183","-23372","322","-66.5"
"304","304","-2201","-23654","320","-64.2"
"305","305","-2219","-23925","320","-61.25"
"306","306","-2235","-24190","322","-59.95"
"307","307","-2250","-24446","322","-60.05"
"308","308","-2264","-24685","323","-53.6"
"309","309","-2277","-24918","323","-51.9"
"310","310","-2289","-25142","322","-51.5"
"311","311","-2299","-25353","322","-48.75"
"312","312","-2310","-25561","321","-49.15"
"313","313","-2319","-25751","321","-45.35"
"314","314","-2327","-25928","319","-39.25"
"315","315","-2334","-26106","319","-43.45"
"316","316","-2339","-26268","322","-41"
"317","317","-2344","-26419","322","-37.95"
"318","318","-2347","-26562","323","-38.95"
"319","319","-2350","-26694","323","-38.25"
"320","320","-2352","-26813","323","-34.4"
"321","321","-2351","-26923","323","-36.3"
"322","322","-2351","-27019","322","-32.55"
"323","323","-2348","-27106","322","-33.95"
"324","324","-2346","-27176","321","-30"
"325","325","-2342","-27239","321","-30.3"
"326","326","-2336","-27288","323","-29.95"
"327","327","-2330","-27320","323","-24.35"
"328","328","-2322","-27347","323","-27.45"
"329","329","-2314","-27357","323","-24.55"
"330","330","-2304","-27358","323","-24.3"
"331","331","-2294","-27345","323","-23.1"
"332","332","-2281","-27315","322","-20.7"
"333","333","-2269","-27267","322","-12.1"
"334","334","-2255","-27212","322","-13.65"
"335","335","-2241","-27146","322","-13.6"
"336","336","-2224","-27059","323","-7.35"
"337","337","-2208","-26963","323","-4.75"
"338","338","-2190","-26857","324","-5.75"
"339","339","-2171","-26731","324","1.1"
"340","340","-2152","-26597","324","3.7"
"341","341","-2132","-26446","324","7.9"
"342","342","-2110","-26288","323","9.8"
"343","343","-2088","-26121","323","10.05"
"344","344","-2065","-25946","323","10.85"
"345","345","-2042","-25763","323","10.1"
"346","346","-2017","-25563","324","16.05"
"347","347","-1992","-25354","324","17.9"
"348","348","-1966","-25138","325","17.5"
"349","349","-1941","-24916","325","18.55"
"350","350","-1913","-24688","325","17"
"351","351","-1885","-24452","325","15.25"
"352","352","-1857","-24202","326","20.85"
"353","353","-1829","-23948","326","19.15"
"354","354","-1800","-23686","326","19.75"
"355","355","-1770","-23418","326","18.95"
"356","356","-1741","-23140","326","21.25"
"357","357","-1710","-22856","326","20.55"
"358","358","-1679","-22566","327","19.6"
"359","359","-1648","-22265","327","23"
"360","360","-1617","-21962","327","22.15"
"361","361","-1586","-21652","327","21.5"
"362","362","-1555","-21336","327","23.3"
"363","363","-1522","-21016","327","22.05"
"364","364","-1491","-20689","328","23.3"
"365","365","-1460","-20351","328","28.45"
"366","366","-1427","-20013","328","26.45"
"367","367","-1396","-19673","328","26.1"
"368","368","-1364","-19325","328","28.9"
"369","369","-1332","-18977","328","28.6"
"370","370","-1300","-18626","329","28.65"
"371","371","-1268","-18268","329","32.6"
"372","372","-1237","-17913","329","30.85"
"373","373","-1205","-17556","329","30.75"
"374","374","-1175","-17197","330","33.35"
"375","375","-1144","-16839","330","31.55"
"376","376","-1113","-16479","330","32.8"
"377","377","-1083","-16116","330","36.2"
"378","378","-1053","-15760","330","33"
"379","379","-1023","-15404","330","33"
"380","380","-993","-15047","331","34.15"
"381","381","-964","-14693","331","34.25"
"382","382","-936","-14345","331","31.7"
"383","383","-907","-13995","331","32.65"
